Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Armenia,ARM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,73.61898618,73.45841729,72.75043411,71.88063629,71.3542674,71.17247278,71.09049657,71.70349893,73.42678182,74.97868023,76.42722837,77.2677699,77.8468596,77.83264024,77.76671785,77.67455937,77.22801028,77.39002806,50.09459773,47.23160541,22.56267409,23.39181287,22.39747634,21.42857143,22.38267148,23.37164751,24.79674797,26.52173913,26.66666667,28.71794872,31.14754098,31.38297872,31.60621762,32.32323232,32.84313725,32.36714976,32.09302326,32.14285714,31.6017316
American Samoa,ASM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,47.38844042,46.39360579,45.63697121,45.07247842,44.50631311,43.98328163,43.54928377,43.73351966,43.07100259,42.31432203,41.90650859,41.86190425,42.31320653,42.62347007,42.77830756,42.40481793,41.75779051,41.26560229,40.5866032,40.13422038,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,51.90760745,51.259052,51.40965063,49.98851205,50.33252839,50.23436002,51.17686397,49.34679785,55.80258109,61.52255621,64.12699515,64.35278827,63.58079798,65.80496104,65.78341557,70.30588063,70.58087895,70.1961992,69.65341907,67.12480737,23.07692308,23.07692308,21.42857143,21.42857143,20,20,18.75,18.75,17.64705882,17.64705882,16.66666667,16.66666667,16.66666667,15.78947368,15.78947368,15.78947368,15,15,15
Australia,AUS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,75.35098488,75.96743475,73.7714682,72.79222419,73.64034525,76.08440923,75.74538973,73.61694306,72.50028584,71.3753737,70.36638087,67.93709418,67.58284326,65.11796111,64.72606689,67.12019608,65.76870795,63.75022236,64.8399551,64.60656686,66.23301718,65.77207063,64.5421151,64.7500494,66.37461835,65.35960855,64.30933784,63.1509604,64.20995004,69.0192834,70.11871383,71.77983949,71.16707543,63.32310597,68.29268293,62.89596273,67.06566579,65.11081958,60.27386602
Austria,AUT,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,52.23142875,53.61234158,53.3949415,52.90145867,53.50957178,53.49092292,52.84179808,52.76808494,53.06089206,53.12509299,52.24483065,51.34825038,51.45588784,51.53231943,51.63486716,51.26513674,51.07819872,50.93429755,48.9105339,48.77821136,56.78478825,56.99391833,56.80212014,56.32393085,57.39868049,56.81818182,58.03842265,58.91553702,59.18367347,59.8691385,60.29082774,60.79545455,60.75949367,60.14067995,59.71563981,60.9963548,61.41439206,62.43654822,63.67137356
Azerbaijan,AZE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,55.11720497,55.59897428,54.99307571,53.80368405,52.7032051,51.6887142,50.0039582,48.51721576,47.52239984,46.35735952,45.28902709,44.03126731,42.91235741,41.8398844,41.15974201,40.02809403,39.00313312,38.25347958,37.18695231,37.2290096,19.40207444,19.6969697,17.86918409,17.71708683,17.24637681,17.77777778,17.24860335,17.15976331,16.91542289,16.70602125,16.42294713,16.04166667,15.41828794,15.07285974,14.62264151,14.18727199,12.15046605,10.52929522,9.375
Burundi,BDI,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,41.14317051,41.4743621,42.4448658,43.61734274,43.67514162,44.03797814,43.71585377,43.73004764,43.0956725,43.08369899,37.12237157,31.6816511,31.0022647,30.5776636,30.7912187,28.51309349,31.75487463,30.31618329,30.03277008,29.4633481,38.46153846,38.125,36.96969697,35.32934132,32.72727273,32.35294118,32.33532934,33.53293413,31.44654088,33.55704698,36.42857143,38.68613139,38.63636364,40.76923077,43.41085271,46.09375,47.76119403,49.27536232,51.38888889
Belgium,BEL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,37.51702533,39.19160186,39.02119499,39.53179698,40.82071467,41.33362402,40.84204649,40.83938561,41.87618226,42.42111315,42.65137534,43.02440795,42.96421255,44.17740029,44.33406039,44.11507057,45.38908551,47.63091704,50.61636493,51.2670236,58.80574452,58.85885886,58.67579909,59.15057915,58.78274268,59.11517925,59.3990755,59.07668232,59.53711093,61.9047619,61.88118812,63.87931034,64.31797651,65.48076923,65.14118793,65.9,66.02434077,66.80497925,67.83068783
Benin,BEN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,33.80206504,34.17494484,35.07825025,35.73467725,36.46270743,37.11601062,37.0886644,36.27657394,37.48401338,37.0942921,36.68196494,38.04544828,37.31700559,38.46041168,38.77525307,39.70501961,37.21547592,36.76681184,37.22452027,36.34440085,64.81481481,65.35714286,65.03496503,64.35986159,65.4723127,62.67123288,66.97247706,68.1547619,69.71428571,68.73156342,71.4673913,66.26506024,67.21763085,65.09695291,63.18681319,65.27093596,62.18905473,61.19047619,58.57142857
Burkina Faso,BFA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,69.18267414,68.51898451,66.70291597,65.45685452,63.47758811,64.12594942,64.95723678,65.89111047,65.07357067,66.35330818,67.89250512,66.91664613,68.23264442,67.55943527,67.43881011,69.12140203,69.19922795,69.35607729,69.13054989,69.57876965,87.34177215,87.44884038,87.36702128,87.35332464,87.2935197,87.42293465,87.87128713,88.71548619,89.20863309,89.92890995,90.94972067,89.86175115,89.50276243,90.81908191,90.49694856,90.18612521,89.62585034,89.37759336,89.23694779
Bangladesh,BGD,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,89.34079133,88.5597662,88.4386698,88.15225638,87.84250453,87.92103468,87.20530419,86.86589962,86.7429139,86.44221549,85.19267889,84.90583632,84.40699203,82.98933292,82.71104648,82.57240535,82.18763383,81.29357718,80.52845538,80.27827061,78.19198509,77.72261868,77.44811683,76.98449255,76.79708826,76.82615869,76.45462768,76.40466228,76.00421243,76.43013899,76.37075718,76.1497171,75.80805923,75.32723434,74.43800368,74.26755113,74.17769892,74.00595077,74.44386286
Bulgaria,BGR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,47.34679414,47.68175924,48.36183464,47.54171417,47.14222379,47.21256158,47.82142055,46.97900564,46.47654872,45.84073545,45.24025251,44.06047893,43.47130297,42.53575174,42.05276945,40.67038223,39.04677622,38.15905052,37.17868664,36.03042144,35.99755949,36.45833333,32.79352227,27.95857988,25.91645354,23.37770383,23.50993377,22.53032929,23.71040724,25.91549296,25.82781457,25.50200803,23.64793213,24.00813835,25.77873255,26.01351351,25.67726737,26.0210035,25.69360676
Bahrain,BHR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0.7977447067,0.823845884,0.8711683769,0.7987780031,0.6408576577,0.6845892585,0.6641898202,0.6228122395,0.6207049814,0.652431654,0.6409342575,0.5908294548,0.6602059073,0.6784099086,0.6715067854,0.6915674198,0.7751705154,0.8566513494,1.018984301,1.103440159,0.6309148265,0.6172839506,0.6042296073,0.5917159763,0.5714285714,0.4830917874,0.4175365344,0.3683241252,0.3289473684,0.2971768202,0.27100271,0.2604166667,0.2503128911,0.2415458937,0.2331002331,0.2252252252,0.2120890774,0.2004008016,0.1901140684
"Bahamas, The",BHS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,9.633618559,8.862083068,8.290196959,7.559549206,5.946781741,5.533625106,5.677441266,4.79479056,4.675594133,4.486922196,4.207792891,3.988946298,3.90946232,3.837208457,3.843716314,4.005624273,3.873501627,3.585955584,3.403286719,3.337286681,6.25,6.25,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.263157895,5.263157895,9.523809524,5,5,4.761904762,9.523809524
Bosnia and Herzegovina,BIH,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,54.04933627,54.38431725,53.63505141,54.34635247,53.70388471,57.31060143,56.69622589,55.54067459,53.96425754,52.41721901,49.17582935,46.85652766,42.85434407,39.37975005,38.89774336,37.69784053,37.56115641,37.45724347,38.56155142,36.83946225,38.21782178,37.57575758,56.61538462,71.83673469,67.34693878,60.98654709,45.41832669,46.95945946,44.47852761,44.15204678,43.8547486,42.45810056,48.81355932,48.74213836,48.21428571,47.68786127,49.45054945,44.61942257,42.30769231
Belarus,BLR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,84.81345437,84.99729072,84.82806255,84.51762389,84.32674564,84.14954032,83.58491391,83.10673956,82.8430719,82.71382051,82.33057215,81.94152978,81.65416211,81.43966042,81.22212926,80.94191412,80.56605161,80.42360228,78.86020739,78.37462272,80.28870085,80.46795524,79.375,79.8088411,79.47269303,78.57142857,75.35353535,73.95762133,73.28296703,72.36111111,69.79241231,69.26438456,68.14486327,66.22613803,62.58890469,63.95939086,62.40282686,60.3021978,56.78131084
Belize,BLZ,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,63.3288425,67.17090277,67.11167864,66.99095915,68.78743322,69.63229044,70.08281592,67.97482347,66.23753676,69.56481328,68.08277751,66.97048449,69.45937763,64.11855196,64.87918339,64.66594456,65.16084794,66.51462287,67.02001192,66.78275129,1.633986928,1.602564103,1.880877743,1.543209877,1.512859304,1.449275362,1.797752809,2.352941176,3.846153846,7.8125,42.85714286,41.66666667,38.46153846,37.93103448,35.71428571,33.33333333,31.42857143,32.5,31.11111111
Bermuda,BMU,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,9.08026419,9.231229736,8.33760938,7.269247957,5.863825682,5.834401936,6.176004136,5.855912969,6.248207205,6.904611456,7.421622415,7.405749993,7.023073728,6.49448529,6.162754441,6.228022131,5.421132776,6.009851308,5.929017484,6.828762983,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,46.26927117,52.53989832,46.68798303,49.56754632,50.16600717,48.47314057,46.64157223,52.6786052,50.89992609,51.5399584,51.17959263,52.18199636,51.10255843,53.08389699,57.10628909,56.57608341,53.08881798,50.38672644,53.80990191,53.43254412,89.15470494,86.49885584,84.16848221,81.95697432,80,80.86500655,81.37384412,82.30318803,83.36507937,84.4403444,85.14007308,82.3100304,81.1247216,79.73568282,79.62962963,79.15644924,78.66995074,78.46003899,78.32369942
Brazil,BRA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,60.85901402,67.89231896,64.59713902,68.04933328,66.90145229,64.86558327,64.67922468,69.48169726,65.88613026,64.63659264,64.74182041,66.9040743,66.20071942,64.99125697,68.24540289,66.66094011,66.44145087,64.15604626,66.59359438,66.52839019,84.88641144,83.37275544,83.5500394,83.34042623,83.38475382,84.76649013,82.63081872,82.4213978,82.36939712,81.70867653,82.52373491,81.52806895,81.65528302,81.49854382,81.74117528,82.66133092,81.99312715,81.65314892,81.35155851
Barbados,BRB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,41.66594282,41.32095996,38.98815101,38.26058211,36.18670743,32.98503906,33.75042248,33.62254702,35.34682903,36.21719646,36.98468424,37.17422534,35.49379711,34.78584408,34.7219457,34.73918986,36.66505406,37.53007682,38.25885656,41.9831134,2.898550725,2.843601896,2.790697674,2.283105023,2.252252252,2.242152466,2.232142857,2.222222222,2.212389381,1.762114537,1.754385965,1.754385965,1.321585903,1.321585903,1.321585903,1.321585903,0.8810572687,0.8810572687,0.8771929825
Brunei Darussalam,BRN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,3.323802288,3.625370595,2.52277701,1.652891449,2.015833228,1.790886072,1.420526313,1.086475338,0.9721054317,0.9969491277,0.8169564524,0.9376869509,0.837555789,0.6890904393,0.9562528283,0.7469490475,0.4542791976,0.4899238936,0.5600722178,0.5887565027,0.1013171226,0.0999000999,0.09852216749,0.09727626459,0.09596928983,0.09478672986,0.09199632015,0.1787310098,0.1739130435,0.1692047377,0.1648804617,0.1636661211,0.162601626,0.1615508885,0.1603849238,0.1593625498,0.1658374793,0.172860847,0.1806684734
Bhutan,BTN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,52.88077677,52.97431633,53.13427367,52.92782472,52.79360239,53.34089826,53.61570367,53.46496071,52.78023125,52.45704859,52.36549283,52.35146934,52.86023315,53.4697097,53.90872378,54.46053327,54.97623903,55.86539031,51.89223485,51.33287408,62.65060241,63.0952381,61.72839506,61.72839506,60.49382716,62.79069767,61.17647059,61.17647059,60,61.36363636,59.30232558,56.09756098,56.09756098,55.42168675,54.76190476,58.24175824,56.66666667,56.52173913,52.94117647
Botswana,BWA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,94.61676694,92.85251975,93.6710007,93.89279247,93.87801335,94.14173275,93.84240592,93.98149834,93.54998261,93.92561826,94.55996006,92.92440471,92.9390477,92.56970399,91.16275621,90.31470208,89.30903677,90.76591376,88.24540143,88.79968908,87.9338843,86.58536585,85.61151079,84.44444444,84.50704225,85.5987055,86.13138686,85.0678733,83.17307692,82.42811502,81.13821138,83.77997179,83.75706215,69.00269542,71.28463476,74.55752212,78.58439201,73.63834423,85.87699317
Central African Republic,CAF,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,77.82072837,77.78487771,77.77239176,77.82976816,77.48645923,77.58652994,77.63307665,77.86338241,77.71370452,78.03061929,78.18415703,78.08384522,78.19525663,78.25637619,78.15494555,78.10099957,78.12646659,78.12445982,78.09515774,78.20054134,53.31632653,53.53788353,53.23383085,52.93390982,52.81173594,52.72397094,55.12528474,55.22303783,57.31837607,54.44255801,57.70234987,53.51131747,50.74626866,57.61517615,54.88018703,56.49942987,55.43840178,54.82832618,54.95403473
Canada,CAN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,28.08483937,27.88820553,29.05714462,28.77062124,29.71833357,31.16426261,29.54555613,30.03052373,30.27895142,25.66264507,24.64506175,24.94427131,28.37545498,27.63707149,26.62964283,25.27970231,24.76392097,24.14681799,23.34199175,20.2389029,27.47898192,26.94400363,26.54742547,25.63507958,25.06157635,25.35545024,25.25147087,24.74101727,25.12125927,24.57391627,24.54400898,25.56019749,26.71417565,26.69993151,27.93176972,28.68400315,28.42074132,27.78336013,27.68033212
Central Europe and the Baltics,CEB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,41.23561668,41.41670855,40.66040127,37.73985111,36.07031031,34.47746224,33.89788915,33.89557972,33.81226571,33.61023567,32.55537092,31.03540725,31.07966614,31.0335425,31.32527454,31.20606759,31.52486246,32.24086463,31.89250039
Switzerland,CHE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,75.30639185,75.24014779,74.93766423,74.13057712,74.24973692,73.91931388,74.02338824,72.76051901,72.88949613,72.84752574,71.85364309,69.91184213,70.12987698,68.56019135,68.67506773,67.22771529,66.60543455,65.34889354,64.47580924,63.37299354,75.50387597,76.02523659,75.52,75.77741408,76.56765677,76.16666667,76.17449664,76.04166667,76.4084507,76.3963964,76.45985401,76.49186257,76.45985401,76.67910448,76.3705104,76.98113208,77.35849057,77.9047619,78.6389414
Channel Islands,CHI,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,51.43591799,46.71512681,46.54012325,45.38202202,48.74785826,48.71382058,45.29476376,49.03783701,49.44276714,50.68331423,52.05032335,55.8330744,56.71256517,56.69721473,54.89123188,51.89602598,51.95740955,52.4224633,51.70690823,50.22692735,52.12765957,52.23033252,52.63157895,53.1152648,54.01683244,53.78277154,53.3773862,53.49500713,53.22128852,52.33124565,51.38312586,51.05189341,50.78236131,50.64655172,50.93659942,50.87209302,50.62823356,49.25149701,49.11373708
China,CHN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,69.91008527,71.05315293,70.38535163,69.63909673,69.6477536,67.46324717,67.14781829,64.55249722,61.9718062,60.98751874,61.07559445,60.25600086,58.93741113,57.64454981,56.01241651,54.48064412,54.16920815,53.67763974,52.48087136,52.13840738,46.13604623,45.91895784,45.41015885,44.71725012,44.7721838,45.87262822,46.94608307,44.17415028,45.08558298,45.28091657,44.94762599,43.98971086,43.09846443,42.2191173,42.58768229,42.54897513,40.16595725,37.51247884,35.99190616
Cote d'Ivoire,CIV,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,15.68210385,15.98404556,16.22781926,15.51735579,18.74036906,18.74331208,18.56939808,17.01521322,19.43129313,18.58732281,15.45199832,17.21687861,16.10689253,17.1099476,17.63786375,19.19562463,19.55687984,18.98015883,20.34866303,19.53441798,68.18181818,30.38251366,19.83240223,14.2118863,11.67615948,12.04769737,11.20943953,11.5565032,11.72652531,11.78021978,12.31111111,14.21889616,16.50246305,17.49734889,15.71428571,21.17283951,22.4267212,24.94365139,26.62116041
Cameroon,CMR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,55.69124655,56.38335085,55.60004672,54.71729864,56.40042384,56.6423266,56.85247537,56.56993588,58.08962765,56.96069048,56.82290792,57.58857687,55.01773701,43.10207078,43.11420054,45.88261541,41.51502423,43.85853563,54.67588984,48.44472469,66.99889258,66.59292035,66.30076839,65.93886463,65.61822126,63.63636364,62.41062308,61.62109375,62.03451408,61.58536585,62.80925778,60.80525883,59.98356615,61.65123457,58.76623377,60.72782411,58.17757009,56.95517774,54.06050955
"Congo, Dem. Rep.",COD,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,27.86863268,27.36526115,27.40063518,27.45646932,27.20547443,27.41507003,27.17112571,27.33205481,27.3384114,27.58015423,27.3465375,27.09143456,27.23760118,27.17612802,26.51257309,26.75562637,26.55954631,27.22045882,26.37264761,26.69681458,49.67897271,48.43935203,47.64478764,46.58054711,45.59372666,45.10606624,39.3590797,38.84981382,39.78013029,37.53690426,36.565911,38.12776215,43.00217549,44.59366391,45.77114428,44.97845542,44.46959897,40.54959786,41.15755627
"Congo, Rep.",COG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,27.52643491,34.40089367,33.92258211,30.23502114,30.42447028,30.7896744,32.06846021,32.47716306,31.91533914,28.88365592,30.57492322,32.15251515,30.84841457,30.91335885,33.9090493,34.18414001,35.35233249,32.21375461,37.13115857,36.12865724,56,56.64739884,57.30994152,58.57988166,59.63855422,58.57988166,35.96491228,36.66666667,36.8,36.43410853,30.89430894,33.83458647,42.85714286,53.39805825,54.12844037,57.37704918,55.55555556,50.76335878,48.72727273
Colombia,COL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,74.71515526,77.66295052,76.91184834,78.53522259,78.26099072,77.56076108,76.61376063,78.39982281,76.97110952,76.18450035,75.81275452,76.24706648,75.80399896,74.69835957,75.10873171,74.18627174,73.10495344,71.69898774,73.15070992,73.44438898,73.03664921,72.28327228,72.01850583,71.79616549,71.59597293,71.13114754,70.86830213,70.04048583,69.68,68.30663616,68.02644308,67.68552072,66.97319202,66.70726138,66.30288533,65.97953433,64.89143192,64.5427393,63.72288314
Comoros,COM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,66.77353271,66.56990878,66.18678728,65.92709857,66.1751648,65.14939964,64.17645629,63.64579099,63.15266548,62.99419295,61.88397687,60.71075613,59.46445143,57.919864,57.47263119,55.50201885,53.97197943,52.17203745,51.43933783,50.71929651,88.23529412,88.23529412,94.11764706,88.88888889,88.88888889,88.88888889,88.88888889,89.47368421,89.47368421,89.47368421,88.23529412,84.21052632,89.47368421,84.21052632,84.21052632,89.47368421,85.71428571,84.21052632,85.71428571
Cabo Verde,CPV,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,46.28377332,43.80472897,44.92823918,41.80504195,38.9368008,37.18188961,37.47938214,37.68359337,38.14477896,38.18660355,38.73034615,40.12251251,42.54705844,36.42515483,34.91221494,37.13399554,39.18042743,40.710972,44.67641926,45.77569808,44.44444444,44.44444444,50,50,50,50,50,50,50,50,50,50,50,50,54.54545455,54.54545455,54.54545455,54.54545455,54.54545455
Costa Rica,CRI,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,86.75800659,86.83170479,86.97663392,87.87740109,87.73766201,87.86783939,87.74024858,87.71497778,87.80099491,88.05378097,87.87474813,88.26921597,88.07443048,88.11263072,87.38891493,86.44310516,86.23000869,85.73321835,85.15806699,84.96164694,79.02097902,77.77777778,76.44341801,75.17084282,71.98067633,68.31168831,66.23376623,63.84615385,62.03473945,58.95522388,56.43564356,55.02512563,53.31632653,51.67958656,50.1312336,50.76142132,49.48979592,51.08958838,52.09302326
Caribbean small states,CSS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,14.73918903,15.66583918,15.91913647,16.164207,16.06863583,17.99736886,18.92216055,20.05137774,20.61680426,22.54491813,22.32371197,22.44797995,20.69585898,21.03649275,19.61352001,18.33250606,16.18799223,15.7537007,16.1715897
Cuba,CUB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,79.32752085,79.15294072,78.91941706,78.81608995,77.72403243,76.80183032,76.5957407,75.13396211,73.91399925,73.01978295,73.60829033,72.35080616,72.06465205,71.73112145,71.05402361,70.98637653,70.61523359,69.85960135,69.06131918,69.15281414,72.050673,73.18663407,74.95881384,75.11190689,77.89382071,72.71186441,70.06960557,69.20093095,68.4496124,66.90533015,66.02870813,64.94762288,64.62151394,64.44792482,62.67095736,60.25210084,60.70549631,60.34201954,60.71713147
Curacao,CUW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,36.86214964,36.99127146,36.64870582,36.38923846,37.2780084,36.84217622,37.69658612,37.1961844,37.57071281,37.09366756,37.14612678,36.85342641,36.31426062,45.44323091,17.53653391,17.63974385,18.03100574,16.34227347,13.4263339,12.12384902,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,62.85791267,62.58684994,61.79923571,61.66028727,60.31017875,44.77509446,45.47098148,47.86451791,49.4921158,48.5409403,49.10157981,49.92820666,50.66921107,51.51429903,52.40641325,52.86332395,51.92517452,51.97803403,51.4823893,51.02119903,28.30188679,27.77777778,27.27272727,28.57142857,27.5862069,28.81355932,28.33333333,27.86885246,27.41935484,27.41935484,28.125,28.78787879,30.88235294,29.85074627,28.35820896,26.86567164,26.86567164,26.86567164,26.47058824
Czechia,CZE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,36.93819213,37.58830262,38.63960534,40.06812663,40.73862689,40.26427053,39.62217748,38.98442757,40.50583482,39.94466469,41.46936067,41.92244301,42.17722916,42.13341505,42.56383939,42.2725756,42.44575105,42.99274897,43.60901981,45.69937672,32.38493724,33.05046896,31.6091954,28.97384306,26.76659529,26.01984564,25.61247216,24.71526196,23.9738251,24.73253619,24.76697736,25.01694915,24.73572939,24.11347518,23.97660819,22.77580071,21.98879552,22.84887925,22.48563218
